index	#1 Label	#2 ImageID	#3 String	#3 String
173	0	O_4436.jpg	NYDailyNews : Jennifer Aniston ’ s estranged mom , $T$ , dies at 79	Nancy Dow
179	0	O_1678.jpg	$T$ rejects entire intelligence community in new defense of Russia	Donald Trump
378	0	O_2793.jpg	$T$ ’ s ascent watched with wariness in Asia	Donald Trump
1041	0	O_4207.jpg	Dead ass thought this was Edward Scissorhands RT @ SinnamonS : Another look at $T$ for the road # metgala	Taylor Swift
1352	0	17_06_3234.jpg	PHOTOS : Shooting at $T$ Congressional baseball practice	GOP
1593	0	16_05_21_480.jpg	@ $T$ they used horses to control a crowd at a football game ? Must be a new policing strategy .	MirrorFootball
1636	0	17_06_3537.jpg	Jerry West had a strained relationship with $T$ ' owners # clippers # lac # NBA	Warriors
1695	0	16_05_01_818.jpg	NBA : Spurs rout $T$ | Tempo Sports	Thunder
1776	0	O_4772.jpg	$T$ in 2007 : " I ' m excited " for the housing market crash .	Donald Trump
1939	0	O_4046.jpg	Judge Issues Restraining Order On $T$ For 5 Years After Karrueche Presents …	Chris Brown
2401	0	O_1841.jpg	$T$ Called Daryl Hannah “ A Six ” Who Needs A Bath During A 1993 Spat	Donald Trump
2642	0	O_239.jpg	WELP , $T$ went from " F * ck Cash Money " chants to straight up saying " F * ck Birdman " 😕	Lil Wayne
256	1	O_333.jpg	🎞 DUNKIRK | | Star Mark Rylance mentions co - star $T$ on his BAFTA speech . - Ka	Harry Styles
260	1	17_06_12654.jpg	Golden State Warriors enjoy NBA title trophy parade : $T$ , California was a sea o . .	Oakland
725	1	16_05_09_383.jpg	GAME DAY ! PLAYOFFS ! Baseball travels to $T$ for their 1 st RD matchup @ 4 : 30 # WeAreGilmour @ GilmourBaseball	Lutheran West
1166	1	O_3275.jpg	$T$ says he ' d consider withdrawing America from the UN	Donald Trump
1403	1	O_5068.jpg	Kevin Durant is the 1 st player to score 25 + Pts in 9 straight potential series - clinchers since $T$ in 1997 - 98 .	MJ
1671	1	O_4761.jpg	Amandla Stenberg rocking Calvin Klein at the # $T$ .	MetGala
1739	1	O_2025.jpg	# ChrisBrown # Actor Chris Brown , $T$ , Tyga 2015 Concert Tour T - Shirt	Trey Songz
2523	1	O_3498.jpg	$T$ and Leonardo DiCaprio bowling together , 1989 .	Tobey Maguire
2668	1	16_05_02_753.jpg	Leicester City vs . $T$ 2016 live stream : How to watch Premier League online …	West Ham
2872	1	O_1468.jpg	# CannesFestival2016 : Katy Perry , Orlando Bloom , Leonardo DiCaprio ; More at $T$ ’ s 23 rd …	amfAR
3156	1	17_06_14580.jpg	$T$ reveals three Premier League clubs that wanted him	Gianluigi Buffon
3301	1	17_06_5945.jpg	# $T$ | Borussia Dortmund home shirt from 1998 - 00, designed by # Nike # VintageFootball	BVB
351	2	16_05_01_568.jpg	Hundreds came out to $T$ for the annual Arbor Day Festival .	Dawes Arboretum
543	2	O_3055.jpg	$T$ is fast becoming Stephen Colbert ' s best recurring guest on " The Late Show "	Bernie Sanders
1101	2	O_1315.jpg	Ellen DeGeneres has signed $T$ to her network officially .	Tyler Oakley
1171	2	16_05_06_525.jpg	Thank you $T$ ! ! @ together . festival 🔥 🔥 🔥 next stop Tokyo ! ! @ Firebeatz	Bangkok
1338	2	17_06_3723.jpg	Just love sunflowers 🌻 so many happy memories of seeing @ $T$	thegirlsmusical
1843	2	16_05_11_593.jpg	$T$ only has a handful of weekend tickets left , so final chance to book ! More info :	SW4 Festival
1979	2	O_145.jpg	31 plays to celebrate $T$ ( @ CP3 ) ' s 31 st birthday :	Chris Paul
2077	2	O_1955.jpg	$T$ looks so dreamy driving his 1966 mercedes - benz convertible .	harry styles
2542	2	16_05_28_877.jpg	A beautifully intimate gig as usual at @ $T$ last night . Cheers to everyone that caught our set ! # HTLGI2016	HTLGIFestival
2758	2	16_05_25_575.jpg	After falling to the Tigers during the regular season , $T$ Baseball defeats …	Notre Dame
3238	2	16_05_12_1011.jpg	One of the best concerts ! So many surprise guests including a $T$ reunion 😱 too much fun w / @ TheGlowEdit	black eyed peas
3299	2	16_05_01_717.jpg	Congrats $T$ soccer team all district selections 8 players selected # mustangsoccer	John Jay
