index	#1 Label	#2 ImageID	#3 String
3135	negative	3135.jpg	Conservative Support COLLAPSE: 40% Past Voters 2 Vote for Another Party	
3482	negative	3482.jpg	If abortion is a settled issue in than why people get upset with images of abortion?	
3495	negative	3495.jpg	Does condone this sort of shameful behavior by his candidates? You can't have it both ways.	
3628	negative	3628.jpg	Conservatives view migrants as criminals.	
5414	negative	5414.jpg	awesome homers boys! 4-0	
5735	negative	5735.jpg	Me after that Grand Slam	
5969	negative	5969.jpg	Gone to watch the Jays and guess who flew up here from the Rock?	
6638	negative	6638.jpg	Sending the DMD link to a bunch of people on Facebook I swear they all better watch it	
6963	negative	6963.jpg	I SRSLY CANT RIGHT NOW OMG???	
7398	negative	7398.jpg	Want hot music downloads on	
8028	negative	8028.jpg	They give special love	
8532	negative	8532.jpg	ya 5 es oh es is my favourite band	
8873	negative	8873.jpg	When Michael finds out you're not voting.... 14	
8888	negative	8888.jpg	I love 5h stans	
8942	negative	8942.jpg	Someone threw a dildo on stage. That's so nasty	
9034	negative	9034.jpg	Me right now because it's 8am and I'm up waiting 4	
9079	negative	9079.jpg	to whoever isnt voting	
9740	negative	9740.jpg	signs all over Vancouver.	
9758	negative	9758.jpg	Harper's multiple year Miley Cyrus moment.	
9790	negative	9790.jpg	Pamela Wallin case prompts more unwelcome questions for Stephen Harper	
9878	negative	9878.jpg	EDITORIAL: Is funding crunch hurting prisons like Springhill Institution?	
9913	negative	9913.jpg	never replanted the trees they said they would & scrubbed the promise to from website	
10144	negative	10144.jpg	If abortion is a settled issue in then why people get upset with images of abortion	
10346	negative	10346.jpg	If abortion is a settled issue in then why people get upset with images of abortion?	
12315	negative	12315.jpg	Wehad the day in in 53 years today. is	
12400	negative	12400.jpg	Pedestrian struck in parking lot dies.	
12770	negative	12770.jpg	Does anyone know who this kid is? He was witnessed stealing the trailer !!	
12930	negative	12930.jpg	At the scene of the small plane crash near the Stoney Creek airport. Mac	
12938	negative	12938.jpg	Construction continues and may cause delays around Eastgate and Mohawk College.	
13123	negative	13123.jpg	Where is the toilet paper....	
13421	negative	13421.jpg	Definitely a hot one in O-Town today...staying inside in A/C enjoying some down time	
14261	negative	14261.jpg	possible plot twist? poor behind.	
15226	negative	15226.jpg	request to pick up dead raccoon along Martin Grove put in yesterday.	
15579	negative	15579.jpg	Get schooled with Sept 19 6pm	
17328	negative	17328.jpg	DRiving in yesterday was dangerous yesterday because drivers treated dead lights like green lights!	
18300	negative	18300.jpg	This bitch on snapchat is getting bitchy because I posted some of my Concert and this was my response	
19051	negative	19051.jpg	Anyone recognise this guy? Dog attack in on Sunday, gave fake name/info.	
19358	negative	19358.jpg	Snow in August can cause this reaction but a vehicle from Cavalcade will help put you at ease	
19783	negative	19783.jpg	Just paused at the right moment.	
19961	negative	19961.jpg	Tickets going fast!	
21577	negative	21577.jpg	HELL YES! A touch big and gaudy as hell EXACTLY AS I WANTED! has the mad skills!	
22312	negative	22312.jpg	?? please no	
22696	negative	22696.jpg	Fellas, stop coming to take care of business in house shoes & hoop shorts. Unacceptable just like bonnets & leggings.	
2542	neutral	2542.jpg	Larry Koopman will vote 2015 because we must preserve our democracy!	
3439	neutral	3439.jpg	PACT launches first Electoral Clip focus	
3953	neutral	3953.jpg	We're Read about our latest opening here: Emerging Markets... -	
4867	neutral	4867.jpg	Did you tune in to see on the Todd They talked about	
5441	neutral	5441.jpg	Awesome pic of pitches gem in win.	
5505	neutral	5505.jpg	Any plans to make it to Sask? We are huge fans here.	
5728	neutral	5728.jpg	Tigers just ordered up suicide Edwings - keep counting	
5902	neutral	5902.jpg	Tomahawk Chop not same without Jane and Ted Meantime chopping up	
6155	neutral	6155.jpg	Supplemental Health Care: All specialties Registered Nurse... NY)	
6255	neutral	6255.jpg	Twang n Thangs 1-3 pm	
6375	neutral	6375.jpg	Want hot music downloads on	
7444	neutral	7444.jpg	Join ladies of Country in	
7789	neutral	7789.jpg	Jack posing for the camera at Kokanee Creek.	
8203	neutral	8203.jpg	My Hairy Furbabys	
8652	neutral	8652.jpg	take me back????	
8929	neutral	8929.jpg	Nah roll up to her house like MAN I GOT A BIG COCK	
9852	neutral	9852.jpg	Oil & Gas industry claims no subsidies. Untrue. In addition, BC ministry spends over $400M a year.	
10840	neutral	10840.jpg	on stage of	
10957	neutral	10957.jpg	Met this guy tonight. A real legend!!!!	
11160	neutral	11160.jpg	RT! SHARE at	
