index	#1 Label	#2 ImageID	#3 String	#3 String
4	0	195984.jpg	Millions For Trayvon September 7 - - - - Shut Down $T$	New York City
274	0	36619.jpg	$T$ is Suddenly Dangerous to Apple and Google MSFT AAPL GOOGL	Microsoft
475	0	14135.jpg	What are these $T$ peacekeepers afraid of ? The semi - starving popn they are protecting ? How not to wun hearts amp minds	UN
497	0	383155.jpg	RT @ 420THCKing : $T$ needs a high as fuck category .	Netflix
507	0	42094.jpg	Jurors watching split video day after $T$ murder . # AaronHernandez plays w baby and in pool w alleged accomplices	Lloyd
743	0	24261.jpg	RT @ FT : Alan Greenspan : $T$ has ceded to the US its power over oil price	Opec
1326	0	65339.jpg	RT @ RembranceOfPast : In 1963 , wives say goodbye to their loved ones in the $T$ .	Navy
1594	0	503784.jpg	BREAKING : $T$ vote delayed til 2pm . Still time to call Senate 1 - 985 - 222 - CISA or @ idltweets	# CISA
1674	0	1104526.jpg	$T$ stil misjudges my music taste sometimes . Is there anyone who likes both Luke Vibert AND Britney Spears ?	Apple Music
2255	0	377.jpg	Huh ! ? Smh RT @ ComedyCentralKE Terrible day for $T$ . # GarissaAttack # KenyaAttack	Kenyans
2299	0	6700.jpg	RT @ thehill : $T$ has now lasted 469 days , spent 4 million :	Benghazi Committee
2694	0	122206.jpg	RT @ threatintel : # vulnerability : $T$ # Apple ID Dictionary attack tool surfaces on GitHub	iCloud
449	1	456040.jpg	Waanzinnig concert in $T$ Peter Frampton 2011	HMH
613	1	538405.jpg	BOULDER , CO - Be there THIS Saturday between 11am and 12noon in the $T$ vicinity ! # TheLassyProject	Pearl Street Mall
710	1	49666.jpg	People of South Asian background r 6 times more likely to have # Diabetes than other communities # cpwyacademy $T$	# Ramadan
729	1	1422611.jpg	# Brasil - Teachers and PM militarized police clash in downtown Curitiba , $T$ on April 29 , 2015	Brazil
988	1	125027.jpg	RT @ MelbourneGA : Hard at work through the eyes of our $T$ student @ Moniquearonica # lifeatGA	UXDI
1052	1	1319942.jpg	RT @ DrEdwardG : Lonely boat by $T$	Peter Zajfrid
1061	1	544997.jpg	RT @ coolestpicshq : $T$ City Skyline Evolution	New York
1290	1	72856.jpg	RT @ Erwinlandman72 : De auto van $T$ van hyacinten bloemenvgemaakt # bloemendagen # AnnaPaulowna	Max Verstappen
1558	1	72015.jpg	Wet feet , $T$ and Maine	Costa Rica
1818	1	492949.jpg	RT @ BrilliantPosts : Natural Swimming Pool in $T$ , Greece	Thassos
1952	1	65245.jpg	RT @ artoftheserpent : $T$ , Sunday Afternoons Feelings .	Simon Prades
2073	1	68212.jpg	$T$ cameras take rafting trip at Grand Canyon wow . What a street view	Google
262	2	1735431.jpg	RT @ HuffPostArts : A woman artist you should know : Moroccan - Born photographer $T$	Lalla Essaydi
387	2	608735.jpg	RT @ CoachJim4UM : . @ coachjeddfisch Dr . Paul Cederna Me and 3D $T$ @ Mottchildren	Charles Woodson
602	2	92139.jpg	Please keep our $T$ missions team in your prayers as they are in Uganda serving , loving amp leading others to Christ !	ELC
668	2	216094.jpg	RT @ GarethBale11 : Great end to my first day in Jakarta with dinner at $T$ ! # Delcious	Ebeya
994	2	134865.jpg	RT @ MajorCrimesTNT : Happy birthday , @ grahamPmartin ! RT and give $T$ a birthday shout - out !	Rusty
1002	2	797970.jpg	RT @ MahaveerM : $T$ is Home 2 All Terrorists , Houses Them amp Gives THEM VIP treatment # ProudOfRAW	Pak
1431	2	118281.jpg	RT @ worksnash : Nash and $T$ are probably the biggest dorks out there I LOVE IT	Cam
1454	2	71184.jpg	Mickey ' s Diner in a train car , where I ' ve learned Mighty Ducks filmed . Reports say $T$ was nice # stpaul	Emilio Estevez
1566	2	1315056.jpg	Good day I am $T$	Copper James
2075	2	540057.jpg	RT @ CavsNationNet : Forget what anyone says , $T$ is the ultimate teammate . . . - J . R . Smith	Kevin Love
2750	2	15001.jpg	RT @ ToniKroos : Come on $T$ !	Roger
2821	2	414467.jpg	Life of the Sea Bajau in $T$ . Beautiful photo by Alex Goh # MalaysiaTrulyAsia # MyFest2015 # VisitSabah # ttot	Sabah
