index	#1 Label	#2 ImageID	#3 String	#3 String
141	0	73093.jpg	$T$ officer injured after vehicle flips at Ashland Montrose . Intersection closed , avoid	CPD
152	0	41899.jpg	Broomfield family says Keith left a good job w family business and was aware of dangers fighting $T$ # FOX25	ISIS
312	0	14478.jpg	Usually sceptical of celebrities : $T$ is different with consistent commitment - in tradition of . @ miafarrow	AngelinaJolie
1091	0	1931560.jpg	RT @ FootyHumour : Sums up $T$ in this World Cup .	Argentina
1423	0	528640.jpg	Watch Out ! The Beginning Mall of $T$	San Juan
1553	0	420735.jpg	Gunfire at $T$ house party leaves 1 dead .	Glendale
1610	0	1482680.jpg	$T$ and Luna working shit out	Bailey
1650	0	74601.jpg	RT @ WORLDSTARC0MEDY : $T$ and Willow Einstein too advanced for us	Jaden Christ
1746	0	37887.jpg	RT @ EconBizFin : Why has a $T$ executive just been sent to prison ?	Korean Airlines
1924	0	421086.jpg	RT @ ArizonaDOT : Wet and windy on L - 101 Agua Fria at $T$ . Drive safely , folks !	75th Ave
2320	0	1703971.jpg	RT @ TeenWolfTalk : $T$ I think you have the wrong show # ThisIsntSmallville	Garrett
2617	0	36320.jpg	$T$ looks extremely apocalyptic at the moment	Hong Kong
206	1	841659.jpg	Google Updates AdWords Keyword Qual . . . $T$ # SEO # Socialmedia	# google
567	1	68079.jpg	RT @ heathertal : Dr . Khan , of Sierra Leone , was invited to spend the summer at $T$ , but he stayed to fight Ebola . He died at 39 .	Harvard
865	1	548.jpg	RT @ 1DAlert : The boys on stage in $T$ , Argentina last night ! ( 3 5 14 ) # 33	Buenos Aires
1305	1	552533.jpg	@ idontfeelbad Hey Aubrey check out this Music Craft Beer BBQ Event for the $T$	Pendleton Marines
1864	1	771939.jpg	RT @ telesurenglish : $T$ General Assembly Votes For End to US Blockade on # Cuba	UN
2002	1	15286.jpg	RT @ 9GAG : $T$ VS American English	British English
2173	1	29716.jpg	RT @ etv : Sigh , AKA is back in the news ! $T$ confirms AKA amp Bonang affair .	DJ Zinhle
2416	1	29361.jpg	@ Matt Jory lookin pro in the new $T$ !	MBA
2554	1	71408.jpg	Win tix to see LIGHTS in $T$ ! Call me now at ( 330 ) 672 - 7700 amp tell me Lights ' daughter ' s name amp they ' re yours !	Cleveland
2783	1	119798.jpg	RT @ TaiQuonLee : Stevie : Ma , I want Mimi amp Eva to move w us to LA . $T$ : # LHHATL	Joseline
2907	1	70414.jpg	RT @ ChiTribPhoto : A member of the audience shouts at Mayor Rahm Emanuel during a public hearing of the city budget # Chicago $T$	# mayor
3042	1	556359.jpg	RT @ photocutes : $T$ , France	Corse
380	2	314364.jpg	RT @ Gabriele Corno : Cherry blossoms in $T$ # inspiration # sakura # CGE # pink	Washington DC
846	2	1063886.jpg	Incredible $T$ by Sean Avery -	Shattered CD Art
886	2	1855943.jpg	Possibly my last University Orchestra concert at $T$ ! ! ! XD	SBU
1398	2	1291819.jpg	$T$ is shoveling snow ! ! ! Lol	John
1479	2	644278.jpg	RT @ alice ferrier : $T$ photoshoot ! # body - con # panels	# ASOS
1961	2	654966.jpg	Thanks to $T$ for this : - )	Nick Ellis
2070	2	648219.jpg	RT @ F1 : MOST POLES AT # CHINESEGP 4 - @ LewisHamilton 3 - $T$ 2 - @ alo oficial # F1FastFact	Sebastian Vettel
2401	2	72889.jpg	RT @ Portpictures NL : Again in $T$ Welcome ! @ PortOfRotterdam @ Dockwise @ DockwiseVRdam ( photo 1st time ) @ OffshoreME h	Rotterdam Dockwise Vanguard
2438	2	322679.jpg	Looking forward to watching $T$ v Honduras tonight live at CF . . . . . . Your cold beer is waiting for u : )	England
2527	2	810527.jpg	Why India not part of prestigious expo $T$	Milan
2611	2	1884959.jpg	RT @ ComedyCentral : Thank you $T$ .	Jon
2825	2	94207.jpg	RT @ JohnFugelsang : Spencer Tracy amp $T$ . Good morning .	Hemingway
