index	#1 Label	#2 ImageID	#3 String	#3 String
248	negative	248.jpg	POST MATCH: Dean Smith furious after penalty debacle	
250	negative	250.jpg	A first: When when your 2-liter falls through the bag= 20 ft rocket launch, & huge puddle of pop.	
1520	negative	1520.jpg	Reranging my bookcase again before i buy and other great new releases.	
2158	negative	2158.jpg	3 New Tips to Handling Your Anger	
2334	negative	2334.jpg	"Carlsberg don't do awkward plane rides, but if they did..."	
2585	negative	2585.jpg	I just defeated EGE in a duel!	
3224	negative	3224.jpg	I swear niggas is Suckas ??? catch me lacking and they look down tilt they hat down and act like I don't exist	
3513	negative	3513.jpg	When you get rejected by Justin Bieber	
4596	negative	4596.jpg	Jailed Monster Kingpin Character http:/	
4826	negative	4826.jpg	A helpless woman never expected this from the man?its rea...	
4884	negative	4884.jpg	... next week infuriated be like	
5112	negative	5112.jpg	Mom Expected Normal Twins, But When the Doctors See This, She's SHOCKED...	
26	neutral	26.jpg	Waxwing trills, Chickadees calling "here sweetie", enthusiastic athletes, blue sky & snow at	
511	neutral	511.jpg	2 things a Stormtrooper is powerless against in armor, low hanging objects & this http	
516	neutral	516.jpg	Look at all the people who get more money than us.	
648	neutral	648.jpg	Thrilled that is sponsoring the upcoming Awards on March 1 at	
1089	neutral	1089.jpg	We me to be in the of and I it	
2005	neutral	2005.jpg	Outlaw Column on not getting the Chocolate Thing	
2095	neutral	2095.jpg	NEW White Sunlight Jr. Therapeutic SAD Light Therapy Box Depression	
2720	neutral	2720.jpg	Why are you feeling dispirited? Take the quiz:	
2784	neutral	2784.jpg	DELICIA BEAUTY : MOEN ELEVATED ELONGATED TOILET SEAT Home Care Bathroom Safety Elder	
3807	neutral	3807.jpg	Turned hot tub into a foam party??	
4091	neutral	4091.jpg	Cars HERE > 20pc Set Red Black Auto Car Seat Covers Wheel Cover + Head Rests +	
4654	neutral	4654.jpg	New study suggests evidence for serotonergic dissociation between anxiety and fear	
584	positive	584.jpg	Wow, I'm speechless; my game got the "Most Marketable" jury award at Thanks to everyone who participated!	
806	positive	806.jpg	We are Hiring! *Do you *Are you	
1109	positive	1109.jpg	MAJOR Restyle by me using Illumina ?	
1164	positive	1164.jpg	Amazing Sushi enjoyed world wide see more @ |	
1944	positive	1944.jpg	me if my school burned down	
2084	positive	2084.jpg	Very much appreciate preaching this morning at Central and the challenge to be ?	
2943	positive	2943.jpg	Why do you get flustered so much? Take the quiz:	
3104	positive	3104.jpg	A love letter to the N64's imperfect 'GoldenEye 007' and vaporuous, meaningless nostalgia.	
3269	positive	3269.jpg	S Club 7 has a strange effect on some people. They get very lively.	
3651	positive	3651.jpg	AMAZING SPARKLING RED BARYTE SPECIMEN ON CREATIVE CUSTOM MADE DISPLAY STAND	
3821	positive	3821.jpg	Hey look what we're up to!!!!	
4432	positive	4432.jpg	Why are you feeling dismal? Take the quiz:	
